Concurrent Users,Message Size (Bytes),Total requests,Average Response Time (ms),Throughput (Requests/sec),Error %,Error Count,90th Percentile of Response Time (ms),95th Percentile of Response Time (ms),99th Percentile of Response Time (ms),Adapter CPU,Adapter Memory,Enforcer Memory,Enforcer Memory,Router Memory,Router Memory,Nginx Memory,Nginx Memory
10,50B,2140425,4.13,2374.69,0,0.0,5.0,5.0,12.0,4m,23Mi,778m,730Mi,842m,64Mi,393m,110Mi
50,50B,2899163,15.44,3215.34,0,0.0,50.0,54.0,58.0,3m,22Mi,779m,735Mi,999m,63Mi,542m,119Mi
100,50B,2938040,30.55,3260.78,0,0.0,66.0,69.0,74.0,4m,22Mi,759m,753Mi,1002m,65Mi,579m,124Mi
200,50B,2822101,63.72,3131.36,0,0.0,89.0,92.0,99.0,4m,22Mi,691m,781Mi,1001m,74Mi,514m,130Mi
500,50B,2840020,158.43,3150.38,0,0.0,194.0,199.0,220.0,4m,22Mi,667m,821Mi,1002m,89Mi,489m,149Mi
1000,50B,2907110,310.24,3218.49,0,0.0,371.0,381.0,401.0,4m,22Mi,651m,866Mi,998m,128Mi,567m,187Mi
10,1KiB,2116976,4.17,2350.0,0,0.0,5.0,5.0,12.0,4m,22Mi,780m,712Mi,814m,63Mi,389m,111Mi
50,1KiB,2905703,15.4,3225.4,0,0.0,48.0,52.0,57.0,3m,23Mi,808m,731Mi,1000m,64Mi,571m,120Mi
100,1KiB,2902109,30.93,3220.87,0,0.0,66.0,69.0,73.0,4m,22Mi,758m,748Mi,1000m,65Mi,605m,120Mi
200,1KiB,2860810,62.85,3174.2,0,0.0,89.0,92.0,99.0,5m,23Mi,678m,782Mi,1003m,66Mi,580m,128Mi
500,1KiB,2845235,158.16,3154.25,0,0.0,196.0,202.0,257.0,4m,23Mi,668m,826Mi,1000m,88Mi,558m,148Mi
1000,1KiB,2838028,317.68,3140.8,0,0.0,379.0,391.0,409.0,2m,22Mi,643m,859Mi,1002m,126Mi,560m,187Mi
10,10KiB,1938931,4.55,2149.61,0,0.0,5.0,5.0,13.0,3m,22Mi,751m,708Mi,902m,65Mi,622m,110Mi
50,10KiB,2385220,18.77,2647.29,0,0.0,54.0,57.0,61.0,4m,22Mi,729m,729Mi,1003m,71Mi,824m,114Mi
100,10KiB,2425520,37.0,2692.01,0,0.0,72.0,75.0,80.0,4m,23Mi,692m,763Mi,999m,65Mi,857m,120Mi
200,10KiB,2381251,75.54,2639.64,0,0.0,98.0,102.0,111.0,3m,23Mi,631m,777Mi,1000m,68Mi,838m,126Mi
500,10KiB,2489860,180.85,2759.0,0,0.0,207.0,217.0,267.0,4m,21Mi,614m,818Mi,1000m,93Mi,878m,151Mi
1000,10KiB,2534124,355.98,2801.6,0,0.0,405.0,415.0,469.0,3m,23Mi,596m,855Mi,1001m,135Mi,890m,190Mi
10,100KiB,1086595,8.11,1205.67,0,0.0,10.0,17.0,23.0,4m,22Mi,534m,707Mi,998m,68Mi,1625m,103Mi
50,100KiB,1139416,39.28,1264.48,0,0.0,74.0,79.0,88.0,4m,22Mi,465m,726Mi,1000m,62Mi,2009m,113Mi
100,100KiB,1195828,75.05,1326.94,0,0.0,116.0,138.0,163.0,4m,21Mi,385m,754Mi,1002m,69Mi,2031m,116Mi
200,100KiB,1238292,145.2,1373.8,0,0.0,205.0,216.0,241.0,4m,23Mi,364m,779Mi,999m,85Mi,2089m,123Mi
500,100KiB,1263209,356.89,1399.63,0,0.0,409.0,425.0,459.0,4m,22Mi,356m,786Mi,998m,138Mi,2128m,148Mi
1000,100KiB,1251678,719.45,1380.16,0,0.0,811.0,831.0,895.0,4m,23Mi,335m,808Mi,1004m,218Mi,2040m,191Mi
